year,make,model,trim,style,price,mileage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since,accidents,owners,usage,url
2021,Toyota,Corolla,LE,Sedan,18495.0,20668.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDVPMAE6MJ137690,T18012,No,2024-03-19,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDVPMAE6MJ137690/?radius=25
2021,Toyota,Corolla,SE,Sedan,18990.0,15362.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDS4MCE9MJ077011,4428,No,2024-03-22,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDS4MCE9MJ077011/?radius=25
2021,Toyota,Camry,SE,Sedan,17795.0,55840.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK3MU600488,EU930,No,2024-03-22,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK3MU600488/?radius=25
2021,Honda,Civic,EX,4dr Hatchback,19990.0,30208.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,SHHFK7H61MU415825,4472,No,2024-04-01,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/SHHFK7H61MU415825/?radius=25
2021,Honda,Civic,LX,Sedan,17990.0,13780.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F62MH550103,66050A,Yes,2024-04-12,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F62MH550103/?radius=25
2021,Honda,Civic,EX,4dr Hatchback,16998.0,89412.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,SHHFK7H64MU406889,STK406889,No,2023-12-15,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/honda/civic/2021/vin/SHHFK7H64MU406889/?radius=25
2021,Honda,Civic,Sport,Sedan,18990.0,15044.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F87MH537543,4260,No,2024-02-07,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F87MH537543/?radius=25
2021,Toyota,Camry,LE,Sedan,22987.0,12150.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1R11BK4MU044294,T8579PL,No,2024-02-29,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2021/vin/4T1R11BK4MU044294/?radius=25
2023,Honda,Civic,Sport,4dr Hatchback,22995.0,10122.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFL2H8XPE006669,PHK1805,No,,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/19XFL2H8XPE006669/?radius=25
2023,Honda,Civic,LX,Sedan,21888.0,4603.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F2XPH569638,KT2745,No,2024-02-05,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/2HGFE2F2XPH569638/?radius=25
2023,Toyota,Camry,LE,Sedan,22700.0,6000.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1C11AKXPU836686,836686R01,No,2024-03-20,No accidents, 2 Owners, Rental vehicle,https://www.edmunds.com/toyota/camry/2023/vin/4T1C11AKXPU836686/?radius=25
2021,Toyota,Camry,SE,Sedan,18200.0,39553.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK2MU439180,439180,No,2024-01-25,2 Accidents, 4 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK2MU439180/?radius=25
2021,Toyota,Camry,SE,Sedan,17795.0,53247.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK5MU478958,EU929,No,2024-03-22,No accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK5MU478958/?radius=25
2024,Honda,Civic,Sport,4dr Hatchback,23980.0,8793.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFL2H86RE006882,083325,No,2024-03-28,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/honda/civic/2024/vin/19XFL2H86RE006882/?radius=25
2021,Honda,Civic,Sport,Sedan,17400.0,44212.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F88ME203046,203046,No,2024-03-22,No accidents, 3 Owners, Personal use only,https://www.edmunds.com/honda/civic/2021/vin/19XFC2F88ME203046/?radius=25
2021,Honda,Civic,LX,Sedan,17499.0,31236.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F69MH524629,HHMH524629U,Yes,2024-03-16,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F69MH524629/?radius=25
2023,Honda,Civic,Sport,Sedan,23749.0,4520.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F59PH514933,HHPH514933U,Yes,2024-03-18,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/2HGFE2F59PH514933/?radius=25
2021,Toyota,Camry,XSE,Sedan,21495.0,51213.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,4T1K61AK2MU463393,3889P,No,2024-02-02,2 Accidents, 2 Owners, Rental vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1K61AK2MU463393/?radius=25
2022,Honda,Civic,Sport,Sedan,22895.0,11557.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F52NH577725,HHNH577725U,Yes,2024-03-23,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F52NH577725/?radius=25
2021,Toyota,Corolla,LE,Sedan,14995.0,61730.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE7MP244999,4015P,No,2024-03-04,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE7MP244999/?radius=25
2021,Toyota,Camry,SE,Sedan,16900.0,83576.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK4MU442419,42419,No,2023-12-21,No accidents, 3 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK4MU442419/?radius=25
2021,Honda,Civic,Sport,Sedan,16400.0,65936.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F87MH529796,529796,No,2024-03-22,No accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F87MH529796/?radius=25
2021,Honda,Civic,Sport,Sedan,20095.0,23572.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F87MH551507,MH551507,Yes,2024-03-14,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F87MH551507/?radius=25
2023,Honda,Civic,Type,R 4dr Hatchback,44896.0,3875.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JHMFL5G41PX002279,C3044,No,2023-11-30,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/honda/civic/2023/vin/JHMFL5G41PX002279/?radius=25
2021,Toyota,Corolla,LE,Sedan,15500.0,54628.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAEXMP190193,90193,No,2023-12-12,No accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAEXMP190193/?radius=25
2023,Toyota,Camry,SE,Sedan,26590.0,23936.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1G11BK7PU074966,BX22187,No,2024-03-26,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/camry/2023/vin/4T1G11BK7PU074966/?radius=25
2021,Honda,Civic,Sport,Sedan,16995.0,60145.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F88MH505989,17756,No,2024-01-30,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F88MH505989/?radius=25
2022,Honda,Civic,EX,Sedan,20895.0,46064.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE1F78NH322671,EU623,No,2023-11-16,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE1F78NH322671/?radius=25
2022,Honda,Civic,EX,Sedan,22699.0,28144.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JHMFE1F77NX006218,NX006218,Yes,2024-04-13,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/JHMFE1F77NX006218/?radius=25
2023,Honda,Civic,Sport,Sedan,23199.0,8213.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F56PH561465,B5584P,No,,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/2HGFE2F56PH561465/?radius=25
2021,Honda,Civic,LX,Sedan,14549.0,60155.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F66MH525429,3917P,No,2024-02-09,1 Accident, 1 Owner, Personal use only,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F66MH525429/?radius=25
2021,Honda,Civic,LX,4dr Hatchback,18499.0,27467.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,SHHFK7H3XMU402125,RE010358A,No,,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/SHHFK7H3XMU402125/?radius=25
2024,Toyota,Corolla,XSE,Sedan,25900.0,1408.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5YFT4MCE4RP170767,242442A,Yes,2024-02-22,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2024/vin/5YFT4MCE4RP170767/?radius=25
2021,Toyota,Camry,SE,Sedan,17249.0,64840.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK4MU408951,3873P,No,2024-02-01,2 Accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK4MU408951/?radius=25
2021,Honda,Civic,Sport,Sedan,19000.0,28445.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F82MH505065,53515A,No,2024-04-15,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F82MH505065/?radius=25
2023,Honda,Civic,Type,R 4dr Hatchback,44960.0,6043.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JHMFL5G45PX000437,35124P,No,2023-10-09,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/honda/civic/2023/vin/JHMFL5G45PX000437/?radius=25
2022,Honda,Civic,LX,Sedan,20049.0,38278.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F28NH511248,NH511248,Yes,2024-03-14,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F28NH511248/?radius=25
2022,Toyota,Camry,SE,Sedan,23275.0,41485.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1T11BK5NU072693,50599,No,2024-03-01,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/camry/2022/vin/4T1T11BK5NU072693/?radius=25
2021,Mazda,3,2.5,Turbo Premium Plus 4dr Hatchback,20495.0,66208.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM1BPBNY1M1310138,M1310138,No,2024-03-12,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/mazda/3/2021/vin/JM1BPBNY1M1310138/?radius=25
2021,Toyota,Corolla,LE,Sedan,15000.0,50858.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE7MP192063,92063,No,2023-12-27,1 Accident, 2 Owners, Rental vehicle,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE7MP192063/?radius=25
2021,Mazda,3,Preferred,4dr Hatchback,20495.0,24580.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM1BPALL0M1307703,U03515,Yes,2024-02-23,No accidents, 1 Owner, Personal use,https://www.edmunds.com/mazda/3/2021/vin/JM1BPALL0M1307703/?radius=25
2021,Toyota,Camry,SE,Sedan,18900.0,40559.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK6MU575750,575750,No,2024-03-22,1 Accident, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK6MU575750/?radius=25
2021,Honda,Civic,LX,Sedan,17000.0,22633.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F65MH501218,501218,No,2024-03-22,2 Accidents, 3 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F65MH501218/?radius=25
2022,Toyota,Corolla,LE,Sedan,20997.0,11793.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDEPMAE0NJ200350,HU12805L,Yes,2024-02-24,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2022/vin/JTDEPMAE0NJ200350/?radius=25
2021,Toyota,Corolla,LE,Sedan,17700.0,26089.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDEPMAE0MJ145073,KU2787,No,2024-02-27,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDEPMAE0MJ145073/?radius=25
2021,Honda,Civic,LX,Sedan,15888.0,7748.0,Yes,No,AutoCheck,Title issue reported,No,No,No,No,No,19XFC2F60ME200401,M67488,No,2022-12-08,Insurance loss reported, 1 Owner, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/19XFC2F60ME200401/?radius=25
2021,Mazda,3,Select,Sedan,18064.0,44780.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,3MZBPABM5MM205579,HE7520P,No,2024-04-13,No accidents, 1 Owner, Personal use,https://www.edmunds.com/mazda/3/2021/vin/3MZBPABM5MM205579/?radius=25
2023,Honda,Civic,Sport,4dr Hatchback,24898.0,12407.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFL2H82PE018718,PE018718,No,2024-02-26,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/19XFL2H82PE018718/?radius=25
2021,Mazda,3,Select,4dr Hatchback,19995.0,18033.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM1BPBKL2M1340175,U03586,No,2024-04-02,1 Accident, 1 Owner, Personal use,https://www.edmunds.com/mazda/3/2021/vin/JM1BPBKL2M1340175/?radius=25
2022,Honda,Civic,Sport,Sedan,21395.0,57762.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F55NH503473,NH503473,Yes,2024-04-13,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F55NH503473/?radius=25
2022,Toyota,Camry,SE,Sedan,18888.0,69231.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK8NU622620,EU773,No,2024-01-24,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2022/vin/4T1G11AK8NU622620/?radius=25
2021,Toyota,Camry,LE,Sedan,21542.0,40909.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1C11BK5MU029163,T8667PL,Yes,2024-03-29,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2021/vin/4T1C11BK5MU029163/?radius=25
2021,Honda,Civic,Sport,4dr Hatchback,16800.0,25191.0,No,No,AutoCheck,Clean Title,No,No,Yes,No,No,SHHFK7H45MU412201,412201,No,2024-03-22,1 Accident, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/SHHFK7H45MU412201/?radius=25
2022,Toyota,Corolla,LE,Sedan,19991.0,29274.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE9NP360397,I19930,Yes,2024-02-16,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2022/vin/5YFEPMAE9NP360397/?radius=25
2021,Honda,Civic,EX,Sedan,20440.0,22215.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC1F39ME206889,65594A,Yes,2024-03-26,1 Accident, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/19XFC1F39ME206889/?radius=25
2022,Honda,Civic,Sport,Sedan,21995.0,46858.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F59NH501631,17945,Yes,2024-03-30,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F59NH501631/?radius=25
2021,Honda,Civic,Sport,Sedan,19495.0,35627.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F84MH503415,17828,No,2024-02-26,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F84MH503415/?radius=25
2022,Toyota,Camry,SE,Sedan,18999.0,58996.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK9NU680333,EU783,No,2024-01-24,No accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/toyota/camry/2022/vin/4T1G11AK9NU680333/?radius=25
2021,Toyota,Corolla,LE,Sedan,18997.0,5719.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE6MP172516,QX14182,No,2024-03-05,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE6MP172516/?radius=25
2021,Toyota,Corolla,SE,Sedan,20995.0,13234.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDP4MCE2MJ071783,WU28227,No,2024-03-25,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDP4MCE2MJ071783/?radius=25
2021,Honda,Civic,LX,Sedan,17000.0,28983.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F63MH558257,558257,No,2024-03-22,1 Accident, 3 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F63MH558257/?radius=25
2021,Honda,Civic,Sport,Sedan,17000.0,59164.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F88MH504244,504244,No,2024-03-22,3 Accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F88MH504244/?radius=25
2021,Toyota,Corolla,LE,Sedan,14542.0,76063.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE2MP270703,15427,No,2023-05-30,1 Accident, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE2MP270703/?radius=25
2021,Toyota,Corolla,XLE,Sedan,22680.0,7210.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDFPMAE8MJ121429,T8639PL,Yes,2024-03-22,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDFPMAE8MJ121429/?radius=25
2021,Honda,Civic,LX,Sedan,19990.0,4069.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F63MH560252,65939A,Yes,2024-03-29,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F63MH560252/?radius=25
2023,Toyota,Camry,SE,Sedan,26991.0,6594.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1T11BK5PU100768,T231280,No,2023-05-01,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2023/vin/4T1T11BK5PU100768/?radius=25
2022,Toyota,Camry,LE,Sedan,24991.0,7397.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1C11AK0NU703562,240645A,Yes,2024-03-01,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/camry/2022/vin/4T1C11AK0NU703562/?radius=25
2023,Toyota,Camry,LE,Sedan,26574.0,2085.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1R11AK1PU838076,HU15377R,Yes,2024-02-20,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2023/vin/4T1R11AK1PU838076/?radius=25
2022,Honda,Civic,Sport,Sedan,23759.0,8082.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F52NH560634,U17793,Yes,2024-03-09,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F52NH560634/?radius=25
2022,Honda,Civic,Si,Sedan,28417.0,7834.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE1E59NH474166,NH474166T,No,2024-03-30,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE1E59NH474166/?radius=25
2022,Honda,Civic,Sport,Sedan,22875.0,33560.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F59NH542020,C4214,No,2024-02-22,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F59NH542020/?radius=25
2021,Honda,Civic,Sport,Sedan,20566.0,17690.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F86ME201084,27997,Yes,2024-03-14,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2021/vin/19XFC2F86ME201084/?radius=25
